Account_No,Age,Gender,Education,Marital_Status,Acc_Type,Months_On_Bank,Credit_Card,Credit_Score,Estimated_Income,Cust_id
4998365411,42,Male,Unknown,Married,Savings,39,Yes,538,60K - 80K,112
4998365412,42,Male,High School,Divorced,Savings,42,No,562,60K - 80K,113
4998365413,54,Female,Uneducated,Married,Savings,36,No,675,Less than 40K,114
4998365414,48,Male,Graduate,Single,Savings,28,No,721,80K - 120K,115
4998365415,49,Male,Graduate,Single,Savings,30,Yes,628,80K - 120K,116
4998365416,52,Male,High School,Unknown,Savings,37,Yes,668,80K - 120K,117
4998365417,50,Male,High School,Single,Savings,41,Yes,506,80K - 120K,118
4998365418,49,Male,Doctorate,Married,Savings,31,Yes,524,60K - 80K,119
4998365419,53,Female,High School,Married,Savings,34,Yes,699,Less than 40K,120
4998365420,50,Male,Graduate,Single,Savings,34,No,828,120K +,121
4998365421,55,Female,Doctorate,Married,Savings,39,No,674,Less than 40K,122
4998365422,53,Male,High School,Married,Savings,39,Yes,656,80K - 120K,123
4998365423,47,Female,High School,Single,Savings,48,Yes,684,40K - 60K,124
4998365424,55,Male,College,Single,Current,28,No,625,120K +,125
4998365425,47,Male,Graduate,Single,Savings,42,Yes,432,60K - 80K,126
4998365426,58,Male,Graduate,Single,Savings,52,No,549,120K +,127
4998365427,53,Male,Graduate,Married,Savings,56,Yes,625,80K - 120K,128
4998365428,52,Male,High School,Single,Savings,41,Yes,828,40K - 60K,129
4998365429,50,Female,Uneducated,Unknown,Current,24,Yes,770,Less than 40K,130
4998365430,42,Female,Graduate,Married,Savings,34,Yes,758,Less than 40K,131
4998365431,43,Male,Unknown,Married,Savings,33,Yes,795,40K - 60K,132
4998365432,57,Male,Graduate,Married,Savings,38,Yes,687,80K - 120K,133
4998365433,52,Male,Graduate,Married,Savings,25,No,686,80K - 120K,134
4998365434,47,Male,Doctorate,Single,Savings,39,Yes,789,Less than 40K,135
4998365435,44,Female,Graduate,Single,Savings,50,Yes,589,40K - 60K,136
4998365436,53,Male,High School,Divorced,Savings,34,No,461,60K - 80K,137
4998365437,45,Male,College,Divorced,Savings,40,No,637,60K - 80K,138
4998365438,63,Female,College,Married,Savings,48,Yes,584,Unknown,139
4998365439,39,Female,Post-Graduate,Single,Savings,35,No,579,Less than 40K,140
4998365440,48,Female,High School,Married,Savings,44,Yes,756,Less than 40K,141
4998365441,51,Male,Unknown,Single,Savings,34,Yes,663,120K +,142
4998365442,54,Male,Graduate,Married,Savings,43,Yes,682,80K - 120K,143
4998365443,59,Female,Graduate,Single,Savings,52,Yes,793,Less than 40K,144
4998365444,59,Male,College,Single,Savings,31,Yes,691,60K - 80K,145
4998365445,48,Female,Uneducated,Married,Savings,21,Yes,485,Less than 40K,146
4998365446,41,Female,Graduate,Single,Savings,29,Yes,635,Less than 40K,147
4998365447,55,Male,Graduate,Married,Savings,37,No,650,120K +,148
4998365448,,Female,Graduate,Married,Savings,44,Yes,735,Unknown,149
4998365449,41,Male,High School,Married,Savings,32,No,416,80K - 120K,150
4998365450,40,Male,High School,Single,Savings,32,Yes,754,80K - 120K,151
4998365451,68,Male,Graduate,Married,Savings,48,Yes,535,Unknown,152
4998365452,50,Female,Graduate,Single,Current,42,Yes,716,40K - 60K,153
4998365453,47,Male,Uneducated,Single,Savings,37,Yes,539,60K - 80K,154
4998365454,53,Female,College,Married,Savings,43,Yes,614,Less than 40K,155
4998365455,42,Female,Unknown,Married,Savings,57,Yes,706,40K - 60K,156
4998365456,48,Female,High School,Single,Savings,33,No,758,40K - 60K,157
4998365457,49,Male,Doctorate,Married,Savings,28,Yes,586,120K +,158
4998365458,44,Female,Uneducated,Married,Current,73,No,646,Unknown,159
4998365459,43,Female,Graduate,Divorced,Savings,33,No,631,Less than 40K,160
4998365460,56,Male,High School,Married,Savings,22,No,717,80K - 120K,161
4998365461,59,Female,College,Single,Savings,30,Yes,684,Unknown,162
4998365462,46,Male,Uneducated,Married,Savings,49,No,800,60K - 80K,163
4998365463,47,Female,Unknown,Divorced,Savings,36,Yes,721,Less than 40K,164
4998365464,50,Female,Uneducated,Married,Savings,29,Yes,683,40K - 60K,165
4998365465,51,Female,Uneducated,Married,Savings,31,Yes,660,Less than 40K,166
4998365466,47,Female,Uneducated,Married,Savings,24,Yes,704,Less than 40K,167
4998365467,58,Female,Uneducated,Married,Savings,41,Yes,615,Less than 40K,168
4998365468,46,Male,Graduate,Single,Savings,39,Yes,667,80K - 120K,169
4998365469,53,Male,High School,Married,Savings,24,No,682,60K - 80K,170
4998365470,45,Female,Uneducated,Divorced,Savings,29,Yes,484,Unknown,171
4998365471,52,Female,High School,Married,Savings,27,Yes,628,Less than 40K,172
4998365472,53,Male,Unknown,Married,Savings,44,Yes,480,80K - 120K,173
4998365473,50,Male,High School,Married,Current,30,Yes,578,80K - 120K,174
4998365474,41,Female,High School,Married,Savings,40,Yes,512,40K - 60K,175
4998365475,45,Female,Graduate,Divorced,Savings,35,Yes,484,40K - 60K,176
4998365476,53,Male,Uneducated,Married,Savings,30,Yes,510,80K - 120K,177
4998365477,67,Female,Graduate,Married,Savings,36,No,606,Less than 40K,178
4998365478,57,Female,Uneducated,Single,Current,40,No,597,40K - 60K,179
4998365479,59,Female,Uneducated,Married,Savings,55,Yes,754,40K - 60K,180
4998365480,45,Male,Uneducated,Married,Savings,45,Yes,850,40K - 60K,181
4998365481,51,Male,Graduate,Married,Savings,65,Yes,510,80K - 120K,182
4998365482,59,Female,Uneducated,Married,Savings,45,Yes,778,Less than 40K,183
4998365483,53,Male,Graduate,Married,Savings,42,Yes,636,60K - 80K,184
4998365484,47,Male,Graduate,Married,Savings,50,Yes,804,60K - 80K,185
4998365485,49,Female,Uneducated,Single,Savings,32,Yes,514,Unknown,186
4998365486,49,Male,Post-Graduate,Single,Savings,39,Yes,730,80K - 120K,187
4998365487,60,Female,College,Single,Savings,37,No,525,Less than 40K,188
4998365488,50,Female,High School,Married,Savings,30,No,616,Less than 40K,189
4998365489,41,Female,Post-Graduate,Married,Savings,34,Yes,687,Unknown,190
4998365490,57,Male,Graduate,Married,Savings,41,No,715,80K - 120K,191
4998365491,43,Male,Graduate,Unknown,Savings,36,Yes,512,80K - 120K,192
4998365492,57,Female,Graduate,Married,Savings,40,No,479,Less than 40K,193
4998365493,54,Male,Doctorate,Married,Savings,32,Yes,601,120K +,194
4998365494,51,Female,Post-Graduate,Married,Savings,29,Yes,580,Less than 40K,195
4998365495,47,Female,High School,Married,Savings,35,Yes,807,Less than 40K,196
4998365496,41,Male,High School,,Savings,32,Yes,616,120K +,197
4998365497,53,Male,Uneducated,Married,Savings,37,Yes,721,80K - 120K,198
4998365498,68,Male,High School,Married,Savings,57,Yes,501,Less than 40K,199
4998365499,59,Male,College,Married,Savings,35,Yes,521,60K - 80K,200
4998365500,48,Male,Unknown,Married,Savings,30,Yes,850,80K - 120K,201
4998365501,44,Male,Graduate,Married,Savings,42,No,759,60K - 80K,202
4998365502,48,Male,College,Married,Savings,50,No,516,80K - 120K,203
4998365503,47,Male,Graduate,Married,Current,38,Yes,711,60K - 80K,204
4998365504,47,Male,Graduate,Married,Current,33,Yes,512,60K - 80K,205
4998365505,43,Female,High School,Divorced,Current,37,Yes,550,Less than 40K,206
4998365506,55,Female,Graduate,Married,Savings,41,No,608,Less than 40K,207
4998365507,59,Male,Post-Graduate,Married,Savings,34,Yes,618,60K - 80K,208
4998365508,63,Male,Graduate,Married,Savings,45,Yes,643,40K - 60K,209
4998365509,58,Male,College,Married,Savings,45,No,671,120K +,210
4998365510,53,Female,High School,Married,Savings,33,Yes,689,Less than 40K,211
4998365511,59,Male,Unknown,Unknown,Current,31,Yes,603,80K - 120K,212
4998365512,52,Male,Graduate,Married,Savings,41,No,620,120K +,213
4998365513,48,Male,High School,Single,Savings,34,Yes,676,60K - 80K,214
4998365514,43,Male,High School,Married,Savings,26,No,572,40K - 60K,215
4998365515,48,Male,College,Single,Savings,47,No,668,Less than 40K,216
4998365516,43,Female,Graduate,Single,Savings,46,Yes,695,Less than 40K,217
4998365517,44,Male,Unknown,Married,Savings,33,No,730,60K - 80K,218
4998365518,41,Male,High School,Married,Savings,43,Yes,807,80K - 120K,219
4998365519,44,Female,Uneducated,Divorced,Current,54,Yes,592,Less than 40K,220
4998365520,50,Male,Unknown,Single,Savings,31,Yes,726,40K - 60K,221
4998365521,60,Female,Uneducated,Married,Savings,30,No,514,Less than 40K,222
4998365522,44,Male,Graduate,Single,Savings,42,Yes,567,80K - 120K,223
4998365523,48,Female,Graduate,Divorced,Savings,33,Yes,850,40K - 60K,224
4998365524,44,Female,Graduate,Divorced,Savings,45,Yes,671,Less than 40K,225
4998365525,41,Male,High School,Single,Savings,37,Yes,670,80K - 120K,226
4998365526,45,Male,College,Single,Savings,30,Yes,694,60K - 80K,227
4998365527,47,Female,Uneducated,Divorced,Current,39,Yes,547,Less than 40K,228
4998365528,51,Female,Graduate,Married,Savings,50,Yes,751,Less than 40K,229
4998365529,51,Male,Graduate,Married,Savings,29,Yes,594,120K +,230
4998365530,60,Female,Uneducated,Married,Savings,72,No,673,40K - 60K,231
4998365531,57,Male,Unknown,Married,Savings,40,Yes,610,80K - 120K,232
4998365532,41,Male,Graduate,Single,Savings,37,No,512,120K +,233
4998365533,44,Male,Post-Graduate,Divorced,Savings,20,No,767,80K - 120K,234
4998365534,43,Male,College,Single,Savings,67,No,585,60K - 80K,235
4998365535,55,Male,College,Married,Savings,42,Yes,763,60K - 80K,236
4998365536,52,Male,Uneducated,Married,Savings,29,Yes,712,80K - 120K,237
4998365537,44,Male,Graduate,Unknown,Savings,43,Yes,539,80K - 120K,238
4998365538,41,Male,Uneducated,Married,Savings,46,Yes,668,40K - 60K,239
4998365539,44,Male,Unknown,Single,Savings,28,No,703,80K - 120K,240
4998365540,53,Female,Unknown,Married,Savings,38,Yes,662,Less than 40K,241
4998365541,39,Male,High School,Single,Savings,39,Yes,725,80K - 120K,242
4998365542,49,Male,College,Married,Savings,37,No,703,40K - 60K,243
4998365543,45,Female,College,Married,Savings,67,Yes,659,Less than 40K,244
4998365544,54,Male,Graduate,Married,Savings,34,Yes,523,80K - 120K,245
4998365545,49,Male,Uneducated,Single,Savings,40,Yes,635,80K - 120K,246
4998365546,46,Female,Doctorate,Single,Savings,26,Yes,772,Unknown,247
4998365547,46,Male,High School,Married,Savings,26,Yes,545,120K +,248
4998365548,47,Male,Graduate,Married,Savings,24,Yes,634,60K - 80K,249
4998365549,44,Male,Doctorate,Single,Savings,54,Yes,739,60K - 80K,250
4998365550,50,Male,Post-Graduate,Single,Savings,36,No,771,120K +,251
4998365551,73,Male,High School,Married,Savings,34,Yes,587,40K - 60K,252
4998365552,56,Male,Unknown,Unknown,Savings,79,No,681,40K - 60K,253
4998365553,59,Male,High School,Single,Savings,37,Yes,544,40K - 60K,254
4998365554,70,Male,High School,Married,Savings,28,No,696,Less than 40K,255
4998365555,55,Female,High School,Married,Savings,41,No,766,Less than 40K,256
4998365556,43,Male,Unknown,Single,Savings,34,Yes,727,60K - 80K,257
4998365557,45,Male,Uneducated,Single,Savings,34,No,671,120K +,258
4998365558,45,Female,Uneducated,Single,Savings,30,Yes,693,40K - 60K,259
4998365559,40,Male,Graduate,Married,Savings,38,Yes,850,40K - 60K,260
4998365560,36,Male,College,Unknown,Savings,42,Yes,732,80K - 120K,261
4998365561,59,Female,Post-Graduate,Married,Savings,48,Yes,726,40K - 60K,262
4998365562,43,Male,Unknown,Married,Savings,32,Yes,557,60K - 80K,263
4998365563,46,Female,Unknown,Married,Savings,26,No,682,Less than 40K,264
4998365564,41,Male,Uneducated,Married,Savings,31,Yes,738,40K - 60K,265
4998365565,51,Female,Graduate,Married,Savings,36,Yes,531,Less than 40K,266
4998365566,51,Female,Unknown,Unknown,Savings,34,Yes,498,Less than 40K,267
4998365567,43,Female,Graduate,Divorced,Savings,36,Yes,651,Unknown,268
4998365568,64,Female,High School,Married,Savings,39,No,549,40K - 60K,269
4998365569,54,Male,Graduate,Married,Savings,35,Yes,791,60K - 80K,270
4998365570,48,Male,Unknown,Single,Savings,41,No,650,40K - 60K,271
4998365571,40,Male,Uneducated,Divorced,Savings,34,Yes,733,60K - 80K,272
4998365572,57,Male,Uneducated,Married,Savings,34,Yes,811,40K - 60K,273
4998365573,45,Male,Graduate,Single,Savings,30,Yes,707,80K - 120K,274
4998365574,41,Male,High School,Single,Savings,28,No,712,80K - 120K,275
4998365575,42,Female,Uneducated,Married,Savings,37,Yes,706,Less than 40K,276
4998365576,45,Male,Graduate,Single,Savings,62,Yes,756,60K - 80K,277
4998365577,42,Female,Uneducated,Married,Savings,53,Yes,777,Less than 40K,278
4998365578,47,Male,Uneducated,Divorced,Savings,35,No,646,80K - 120K,279
4998365579,48,Female,High School,Married,Savings,46,Yes,714,40K - 60K,280
4998365580,43,Male,Graduate,Single,Current,39,Yes,782,80K - 120K,281
4998365581,41,Male,High School,Unknown,Savings,29,Yes,775,80K - 120K,282
4998365582,54,Female,Uneducated,Married,Savings,35,Yes,479,40K - 60K,283
4998365583,54,Female,High School,Married,Savings,42,Yes,807,Unknown,284
4998365584,61,Male,Graduate,Married,Savings,22,No,799,40K - 60K,285
4998365585,61,Male,Uneducated,Married,Savings,40,Yes,675,80K - 120K,286
4998365586,48,Male,High School,Married,Savings,29,Yes,602,120K +,287
4998365587,45,Female,Graduate,Single,Savings,32,Yes,475,Less than 40K,288
4998365588,54,Female,Graduate,Married,Savings,26,Yes,744,Unknown,289
4998365589,54,Female,Doctorate,Married,Savings,34,Yes,588,Unknown,290
4998365590,44,Male,Graduate,Single,Savings,42,No,703,60K - 80K,291
4998365591,50,Female,Doctorate,Single,Savings,41,Yes,747,Unknown,292
4998365592,55,Male,Doctorate,Married,Savings,27,Yes,583,60K - 80K,293
4998365593,48,Male,Graduate,Unknown,Savings,34,No,750,40K - 60K,294
4998365594,45,Male,College,Single,Savings,38,Yes,681,60K - 80K,295
4998365595,60,Male,High School,Married,Savings,25,Yes,773,40K - 60K,296
4998365596,55,Male,High School,Married,Savings,31,Yes,714,40K - 60K,297
4998365597,62,Female,High School,Married,Savings,44,Yes,687,40K - 60K,298
4998365598,38,Female,High School,Unknown,Savings,58,Yes,511,Less than 40K,299
4998365599,46,Male,High School,Single,Savings,33,Yes,627,40K - 60K,300
4998365600,50,Male,High School,Single,Current,31,Yes,694,120K +,301
4998365601,45,Male,Uneducated,Married,Savings,36,No,616,60K - 80K,302
4998365602,47,Male,Post-Graduate,Divorced,Savings,35,Yes,687,60K - 80K,303
4998365603,48,Male,College,Married,Salary,33,Yes,712,60K - 80K,304
4998365604,35,Male,Uneducated,Married,Savings,33,No,553,60K - 80K,305
4998365605,51,Male,Graduate,Married,Savings,31,Yes,667,120K +,306
4998365606,36,Female,High School,Married,Savings,43,Yes,731,Unknown,307
4998365607,47,Male,Graduate,Single,Savings,35,Yes,629,80K - 120K,308
4998365608,52,Male,Graduate,Single,Savings,50,Yes,614,120K +,309
4998365609,43,Female,Uneducated,Married,Savings,31,Yes,438,Less than 40K,310
4998365610,63,Male,High School,Married,Savings,80,Yes,652,40K - 60K,311
4998365611,61,Male,Graduate,Married,Savings,30,Yes,729,60K - 80K,312
4998365612,53,Male,Uneducated,Single,Savings,38,No,642,60K - 80K,313
4998365613,53,Female,Graduate,Married,Savings,59,Yes,806,Less than 40K,314
4998365614,57,Male,Graduate,Married,Savings,36,Yes,744,120K +,315
4998365615,38,Female,Graduate,Single,Savings,37,No,474,Unknown,316
4998365616,53,Male,High School,Married,Savings,49,Yes,559,60K - 80K,317
4998365617,63,Female,Unknown,Married,Savings,42,Yes,706,Less than 40K,318
4998365618,49,Female,High School,Married,Savings,22,Yes,628,Less than 40K,319
4998365619,45,Male,High School,Married,Savings,24,Yes,429,80K - 120K,320
4998365620,67,Male,Graduate,Married,Savings,57,Yes,525,40K - 60K,321
4998365621,48,Male,Graduate,Single,Current,30,Yes,680,80K - 120K,322
4998365622,51,Female,Uneducated,Divorced,Savings,40,Yes,749,Less than 40K,323
4998365623,52,Male,High School,Single,Current,31,No,763,80K - 120K,324
4998365624,55,Female,Uneducated,Married,Savings,30,Yes,734,Unknown,325
4998365625,34,Male,High School,Married,Savings,35,Yes,716,60K - 80K,326
4998365626,56,Male,Uneducated,Married,Savings,35,Yes,594,120K +,327
4998365627,44,Female,Post-Graduate,Married,Savings,46,Yes,644,Less than 40K,328
4998365628,47,Male,Post-Graduate,Unknown,Savings,35,Yes,671,80K - 120K,329
4998365629,46,Female,Unknown,Married,Savings,26,Yes,664,Less than 40K,330
4998365630,43,Female,Graduate,Single,Savings,50,No,656,40K - 60K,331
4998365631,50,Female,Graduate,Single,Savings,40,Yes,667,Less than 40K,332
4998365632,38,Female,Uneducated,Single,Savings,44,No,663,Less than 40K,333
4998365633,53,Female,Graduate,Single,Savings,30,Yes,584,Less than 40K,334
4998365634,43,Male,Graduate,Divorced,Current,37,Yes,626,120K +,335
4998365635,53,Male,High School,Married,Savings,29,Yes,485,120K +,336
4998365636,56,Female,Graduate,Married,Savings,32,No,659,Less than 40K,337
4998365637,54,Male,Unknown,Married,Savings,33,Yes,649,40K - 60K,338
4998365638,57,Female,High School,Married,Savings,39,Yes,805,Less than 40K,339
4998365639,62,Male,High School,Married,Savings,39,Yes,716,Less than 40K,340
4998365640,46,Female,Graduate,Single,Savings,40,No,642,Less than 40K,341
4998365641,49,Male,Uneducated,Married,Savings,31,No,659,60K - 80K,342
4998365642,52,Male,Graduate,Single,Savings,47,Yes,545,80K - 120K,343
4998365643,58,Male,Uneducated,Married,Savings,22,No,543,40K - 60K,344
4998365644,54,Male,High School,Married,Savings,25,Yes,718,80K - 120K,345
4998365645,49,Male,Graduate,Married,Savings,43,Yes,840,120K +,346
4998365646,58,Female,High School,Married,Savings,34,Yes,630,Less than 40K,347
4998365647,52,Male,High School,Single,Savings,59,Yes,643,60K - 80K,348
4998365648,41,Male,High School,Married,Savings,32,Yes,654,60K - 80K,349
4998365649,62,Female,Uneducated,Married,Savings,39,Yes,582,Less than 40K,350
4998365650,54,Male,Graduate,Married,Savings,32,Yes,659,Less than 40K,351
4998365651,40,Female,High School,Divorced,Savings,39,Yes,762,Less than 40K,352
4998365652,43,Male,Graduate,Married,Savings,32,Yes,568,80K - 120K,353
4998365653,53,Female,Graduate,Single,Savings,25,Yes,670,40K - 60K,354
4998365654,55,Male,Uneducated,Single,Savings,45,Yes,613,40K - 60K,355
4998365655,46,Male,Graduate,Single,Savings,30,Yes,539,60K - 80K,356
4998365656,41,Male,Uneducated,Married,Savings,57,Yes,850,60K - 80K,357
4998365657,49,Male,Uneducated,Single,Savings,34,Yes,522,60K - 80K,358
4998365658,61,Female,Graduate,Married,Savings,41,Yes,737,Unknown,359
4998365659,46,Male,Uneducated,Married,Savings,58,No,520,80K - 120K,360
4998365660,50,Female,Uneducated,Married,Savings,28,No,706,Less than 40K,361
4998365661,40,Male,Graduate,Single,Savings,45,No,643,80K - 120K,362
4998365662,51,Male,High School,Single,Savings,50,Yes,648,120K +,363
4998365663,50,Female,Graduate,Married,Savings,29,Yes,443,40K - 60K,364
4998365664,47,Female,Graduate,Married,Savings,68,Yes,640,Less than 40K,365
4998365665,43,Male,Unknown,Married,Savings,33,Yes,628,120K +,366
4998365666,36,Female,Graduate,Married,Savings,42,Yes,540,40K - 60K,367
